frame_index,timestamp_sec,rhino_id,min_person_distance_px,distance_to_road_px,risk_level
6,0.2,1,,218.5,LOW
7,0.23,1,,218.5,LOW
8,0.27,1,,218.5,LOW
9,0.3,1,,218.5,LOW
10,0.33,1,,218.5,LOW
11,0.37,1,,219.5,LOW
12,0.4,1,,221.5,LOW
13,0.43,1,,222.5,LOW
14,0.47,1,,223.5,LOW
15,0.5,1,,224.5,LOW
16,0.53,1,,224.5,LOW
17,0.57,1,,225.5,LOW
18,0.6,1,,225.5,LOW
19,0.63,1,,226.5,LOW
20,0.67,1,,226.5,LOW
21,0.7,1,,227.5,LOW
22,0.73,1,,228.5,LOW
23,0.77,1,,228.5,LOW
24,0.8,1,,229.5,LOW
25,0.83,1,,230.5,LOW
26,0.87,1,,232.5,LOW
27,0.9,1,,234.5,LOW
28,0.93,1,,236.5,LOW
29,0.97,1,,239.5,LOW
30,1.0,1,,242.5,LOW
31,1.03,1,,246.5,LOW
32,1.07,1,,249.5,LOW
33,1.1,1,,252.5,LOW
34,1.13,1,,255.5,LOW
35,1.17,1,,258.5,LOW
36,1.2,1,,260.5,LOW
37,1.23,1,,262.5,LOW
38,1.27,1,,264.5,LOW
39,1.3,1,,265.5,LOW
40,1.33,1,,267.5,LOW
41,1.37,1,,267.5,LOW
42,1.4,1,,268.5,LOW
43,1.43,1,,269.5,LOW
44,1.47,1,,269.5,LOW
45,1.5,1,,269.5,LOW
46,1.53,1,,269.5,LOW
47,1.57,1,,269.5,LOW
48,1.6,1,,269.5,LOW
49,1.63,1,,268.5,LOW
50,1.67,1,,267.5,LOW
51,1.7,1,,266.5,LOW
52,1.73,1,,266.5,LOW
53,1.77,1,,265.5,LOW
54,1.8,1,,264.5,LOW
55,1.83,1,,263.5,LOW
56,1.87,1,,262.5,LOW
57,1.9,1,,261.5,LOW
58,1.93,1,,260.5,LOW
59,1.97,1,,259.5,LOW
60,2.0,1,,257.5,LOW
61,2.03,1,,256.5,LOW
